title,description,country
Simon Will,"Verrückter Boy mit nem noch verrückteren Leben, der... fast ganz normale Videos macht. Und Mukke hier und da. Einfach abonnieren hiähähä

Kontaktadresse/Business Inquiries: simonwillcollab@gmail.com

INSTAGRAM 
@simonwill

Von dem 01.10.2016 bis zum 18.11.2018 waren unsere Videos ein Angebot von funk.
funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF).

Impressum für Inhalte ab dem 20.04.2016 bis 18.11.2018:
http://go.funk.net/impressum
https://www.funk.net/netiquette

funk hat auf die datenschutzrechtlichen Bestimmungen dieser Plattform sowie die Erhebung, Analyse und Nutzung von Userdaten keinen Einfluss. Im Rahmen unserer Möglichkeiten gehen wir mit der größten Sensibilität mit Deinen Daten um. Weitere Informationen zum Thema Datenschutz findest Du auf unserer Website: https://www.funk.net/datenschutz",DE
JP Performance,"GESCHÄFTSFÜHRER: JEAN PIERRE KRAEMER

KLÖNNESTR. 89
DE – 44143 DORTMUND

TELEFON     +49 (0)231 39 696 375

E-MAIL          info@jp-performance.de
INTERNET     www.jp-performance.de

ÖFFNUNGSZEITEN
MO. – FR. | 9:00 – 12:00 UHR & 12:45 – 18:00 UHR

TELEFONZEITEN
MO. – FR. | 9:00 – 11:00 UHR & 14:00 – 17:00 UHR

REGISTERGERICHT:  AMTSGERICHT DORTMUND
REGISTERNUMMER: HRB24728

USt.-ID: DE282503123",DE
Shpendiboy,"Hi Leute, kurz und knackig.
Hier gibt es Challenge´s und einpaar lächerliche Videos.
Viel spaß mit meinen Videos :D

(Beste Vorstellung EU-WEST)

Lasst doch ein Abo da und Liked meine Videos.

Buisness Mail : shpendi.buisness@outlook.com

IMPRESSUM : shpendi.shulemaja@gmx.de
                          BroadbandTV
                          Melville St. Vancouver  BC
                          V6E 0A6",DE
DAZN UEFA Europa League,"►Sicher dir deinen Gratismonat: https://watch.dazn.com/de-DE/europa-league-live-stream/
►Das Programm von DAZN: http://bit.ly/2uFkulD
►DAZN auch auf Facebook: https://www.facebook.com/DAZNDE/ 

Erlebe tausende Sportevents in HD-Qualität auf allen Geräten. Auf DAZN gibt's europäischen Top-Fußball mit Premier League, Bundesliga-Highlights, La Liga und Ligue 1 sowie den besten US-Sport aus NFL, NBA, MLB und NHL. Dazu: Fight Sports, Darts, Hockey und vieles mehr - wann und wo du willst. 

+++ Über DAZN +++

DAZN ist ein Livesport-Streamingdienst, der es Fans erlaubt, Sport so zu erleben, wie sie es möchten. Egal ob live zu Hause, unterwegs, zeitversetzt oder im Rückblick, DAZN bietet über 8.000 Sportübertragungen pro Jahr und beinhaltet damit das umfangreichste Sportangebot, das es jemals bei einem einzelnen Anbieter gegeben hat.
DAZN bietet einen Gratismonat, kostet danach 9,99 EUR monatlich und kann jederzeit monatlich gekündigt werden.",DE
LUKE! Die Woche und ich,"Luke Mockridge - Frisch, ehrlich und, kompromisslos. Willkommen in der Welt von Luke Mockridge - dem Gewinner des Deutschen Comedy Preises 2013 in der Kategorie “Bester Newcomer” und Moderator der Sendung ""Luke! Die Woche und ich"".

Hier findet ihr die Highlights der Sendung und mehr.",DE
Sallys Welt,"Ich backe und koche leidenschaftlich gerne und möchte hier auf meinem Youtube-Channel meine Leidenschaft mit euch teilen ♥ Ich selbst bin Grundschullehrerin und habe keine Koch-,Back- oder Konditorausbildung und habe mir alles selbst durch Übung und Experimentieren beigebracht :) 

Auf meinem Blog könnt ihr meine Rezepte nachlesen. In meinem Shop könnt ihr die Produkte erhalten, die ich euch hier vorstelle. 

Ich freue mich über jedes Abo, jede Bewertung und jeden Kommentar bei Youtube. Das Ganze ist und bleibt natürlich kostenfrei ♥

www.sallyswelt.de

ramershoven.com

https://sallys-shop.de/impressum/

Sallys Shop GmbH & Co. KG
Lindenhofplatz 11
78727 Oberndorf am Neckar 
Deutschland

E-Mail: info@sallys-shop.de
Geschäftsführer: Frau Saliha Özcan , Herr Saban Lokman
Registernummer: HRA 732572
USt-IdNr.: DE 308 302 072",DE
EinfachPeter,Einfach Peter weil es sonst zu schwer wäre.,DE
unsympathischTV,"Hallo Ich bin Sascha.

Impressum:

unsympathischTV
c/o
flow:fwd GmbH
Ehrenbergstraße 33
22767 Hamburg
E-Mail: hello@flow-fwd.de
Telefon: +49 40 609439950
Geschäftsführer: Markus Frey 
Gerichtsstand Hamburg, HRB 136994",DE
MaroWeltShow,"Hallo/Salut/Salam/Hello :) 

Mein Name ist Maro, schön das du hier bist :)
--------
Kontaktadresse/Business Inquiries:
marowelt(at)yahoo.de

Ich wohne zwischen Stuttgart und Karlsruhe :)",DE
Die Spezialisten,"Immer im Einsatz, wenn es dramatisch oder gar gefährlich wird: ""Auf Streife - Die Spezialisten"" begleitet echte Experten durch ihren spannenden Job-Alltag. Ob Autobahnpolizei, Wasserschutzpolizei, Feuerwehr, Notarzt oder Zollbeamte - es wird spektakulär!

►Alle Folgen von ""Auf Streife - Die Spezialisten""
http://bit.ly/AufStreifeDieSpezialistenOnline

►Alle Fälle von Auf Streife im Abo!
http://bit.ly/AufStreifeAbonnieren

►Klinik am Südring auf YouTube
http://bit.ly/2zQTqSF

►Die Ruhrpottwache auf YouTube
http://bit.ly/2iKM3Jn

►Ganze Folgen von „Auf Streife“
http://bit.ly/AufStreifeGanzeFolge

►Ganze Folgen von „Auf Streife – Berlin“
http://bit.ly/AufStreifeBerlinOnline

► Auf Streife auf Facebook:
http://bit.ly/AufStreifeFacebook

Impressum:
http://www.studio71.com/de/impressum",DE
"Hilf Mir! Jung, pleite, verzweifelt",http://www.rtl2.de/impressum,DE
WALULIS,"WALULIS - die Medikamentenausgabe im Irrenhaus Internet. Das Gegengift zum YouTube-Schrott. 

Wir kennen uns mit Medien aus. Und wie man sie verarscht. Oder wie sie uns verarschen.

⏯  . Montag & Donnerstag. Und immer, wenn uns was einfällt.

Besuch uns auch auf Facebook: facebook.com/Walulis
Oder korrigier unsere Rechtschreibung auf Twitter:  twitter.com/walulis

Seit dem 16.11.2016 ist ""Walulis"" ein Angebot von funk
funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF).


Produktionsfirma: 
Enrico Pallazzo - Gesellschaft für gute Unterhaltung

funk hat auf die datenschutzrechtlichen Bestimmungen dieser Plattform sowie die Erhebung, Analyse und Nutzung von Userdaten keinen Einfluss. Im Rahmen unserer Möglichkeiten gehen wir mit der größten Sensibilität mit Deinen Daten um. Weitere Informationen zum Thema Datenschutz findest Du auf unserer Website: https://www.funk.net/datenschutz",DE
inscope21,"learn how to natz in the 21st century

Impressum
Inscope21
c/o
flow:fwd GmbH
Ehrenbergstraße 33
22767 Hamburg
E-Mail: hello@flow-fwd.de
Telefon: +49 40 609439950
Geschäftsführer: Markus Frey 
Gerichtsstand Hamburg, HRB 136994",DE
Hey Aaron!!!,"Hauptsache wir haben Spaß !!!!

Für Autogramme schickt bitte einen Brief mit frankiertem Rückumschlag an:
Aaron Troschke 
Schivelbeiner Str. 44
10439 Berlin

Realisator: Timo Schmidt: timo@heyaaron.de

Titel & Hintergrundmusik: http://www.ArmanUderzo.com

Impressum: 

ReachHero GmbH
Greifswalder Straße 208
10405 Berlin
timo@heyaaron.de

Amtsgericht Berlin HRB 162985 B
USt.-IdNr.: DE275103703",DE
Alles oder Nichts,"Alles oder Nichts - die neue Daily Soap in SAT.1! Ab 22.10. immer werktags um 18:30 Uhr in SAT.1 und direkt im Anschluss auf sat1.de!

Alles zur Serie und alle Folgen bis zum 10.11. in voller Länge findet ihr auf dem offiziellen Alles oder Nichts YouTube Channel!

Vier Welten, vier Geschichten - und ein Erbe, das alle vereint: Der Tod des schwer reichen Bauunternehmers Axel Brock bringt zutage, was jahrelang verborgen blieb: Neben seiner Vorzeige-Ehe mit Melissa und den gemeinsamen Kindern Jascha und Maria hinterlässt der Unternehmer drei uneheliche Kinder: Jenni, Anja und Daniel.
So stellt das Schicksal am Tag der Testamentseröffnung für alle Beteiligten die Weichen neu. Die Bühne ist frei für Intrigen, Dramen, Machtspiele, aber auch große Gefühle, Zusammenhalt und die individuelle Suche nach dem Platz im Leben …",DE
Finch Asozial,"Offizieller YouTube Account von Finch Asozial
Finch Asozial Kanal abonnieren: http://ytb.li/FinchAsozial
Finch Asozial auf Social Media folgen: http://finchasozial.fty.li/social",DE
Die Autodoktoren - offizieller Kanal,"Die Autodoktoren, bekannt aus VOX ""auto mobil"", geben Einblicke in ihren Werkstattalltag und Tipps für Autofahrer, Hobbyschrauber und Profis.

***Eine Produktion der Fabula Film GmbH***
Kontakt: Lars Faust - faust@fabula-film.de

Die Autodoktoren bei Facebook: www.facebook.com/DieAutodoktoren/
Die Autodoktoren bei Instagram: www.instagram.com/die_autodoktoren/
Webshop: http://www.die-autodoktoren.tv/epages/62864368.sf/de_DE/?ObjectPath=/Shops/62864368/Categories/Produkte",DE
Mirco Rosik,"Jo Leute, willkommen auf meinem Kanal! :)

Auf diesem Channel kommen viele Pranks | Lifestyle | Comedy Videos und Vlogs!

Es kommen bald regelmäßig coole Videos!!

Viel Spaß und schaut vorbeit :)",DE
Leckerschmecker,"Die leckersten Rezepte der Welt zum Nachmachen und Genießen. Zubereitet und einfach erklärt von First Class Köchen in den Leckerschmecker Studios in Potsdam, Germany.

„Leckerschmecker“ wird betrieben von der Media Partisans GmbH, einem jungen Medienunternehmen mit 90+ Mitarbeitern aus Potsdam. Media Partisans ist Produzent von originalen Videoinhalten in elf Sprachen und gehört zu den größten Social Video Produzenten der Welt. 

Bei Fragen und Tipps sende uns bitte eine Email an info@mediapartisans.com. 
Mehr Information findest du auf unserer Website www.mediapartisans.com.",DE
"Netflix Deutschland, Österreich und Schweiz","Über Netflix
Netflix ist mit über 86 Millionen Mitgliedern in mehr als 190 Ländern, die täglich über 125 Millionen Stunden Filme und TV-Serien – darunter auch Originalserien, -dokumentationen und -spielfilme – genießen, der größte Internet-TV-Anbieter weltweit. Mitglieder können Filme und Serien jederzeit, überall und mit fast jedem beliebigen internetfähigen Endgerät unbegrenzt streamen, ohne dauerhafte Verpflichtungen einzugehen. Die Wiedergabe der ausgewählten Titel kann dabei ganz ohne Werbeunterbrechungen jederzeit gestartet, unterbrochen und fortgesetzt werden.",DE
extra 3,Der offizielle YouTube-Kanal von extra 3!,DE
Onefootball Deutschland,"Onefootball Deutschland - Wir erzählen die Geschichten, die der Fußball schreibt.

Alle Nachrichten rund um die Bundesliga, Champions League und vieles mehr!
Mit unseren täglichen Shows bist du immer bestens über die wichtigsten Themen um Fußball, Transfers und Wettbewerbe informiert!

Onefootball Daily News - Jeden Tag aktuelle Themen aus der Welt des Fußballs.
Fakt ist..! - Alle Infos zur Bundesliga: Von Transfers bis Spieltagsanalyse.
Nico's Hot Topic - Themen, über die der Fußball spricht unter die Lupe genommen.
Scouting Report: Die Supertalente der Bundesliga und ganz Europas im Fokus - Wer sind die Ronaldos und Messis von Morgen?

Wenn Du noch mehr von uns sehen willst, dann lade dir die Onefootball App runter:
http://bit.ly/DownloadOnefootball

Uns gibt es außerdem auf folgenden Kanälen:

► Twitter: http://bit.ly/1tv6TNd
► Instagram: http://bit.ly/1U7uYQh
► https://company.onefootball.com/imprint

Viel Spaß mit unseren Videos!

Bildagentur: Getty",DE
The Voice of Germany - Offiziell,"Der offizielle YouTube-Kanal von The Voice of Germany. It's new, but still The Voice! 

Bewirb dich für The Voice of Germany und The Voice Senior: https://www.the-voice-of-germany.de/bewerben

Wer hat den feineren Hörsinn? Wer hat das bessere Gespür? Wer holt sich The Voice of Germany in sein Team?

Alle Videos, Bilder und News zu The Voice of Germany findest du auf: https://www.the-voice-of-germany.de/ 

Impressum:
http://www.studio71.com/impressum/",DE
Die Meeries,"Füttere mich doch einfach!! *miep*🐹

👑 Anführerin - Porzellan

`°.•°•.★*Unser Merch*★ .•°•.°´
T-Shirts, Hoodies uvm.: https://www.getshirts.de/diemeeries
Buch auf Rune-Online: http://bit.ly/2GhSeM5
Buch auf Amazon: https://amzn.to/2xM91o4 *
Banana Crumble Plüschie: http://bit.ly/2FXr4Kg
Semmel Kissen: http://bit.ly/1sWYh1G
Banana Kissen: http://bit.ly/1d1FgkT
Meerie Manga Mini: http://amzn.to/1N6jJEz *
Meerie Manga: http://amzn.to/203gMvR *
Meerie Manga PU: http://amzn.to/2orBAT7 *
☆Komplette Merchliste: http://bit.ly/2G4Clvj

📜 Alle Infos zu den Meeries📜
http://diemeeries.blogspot.de
http://bit.ly/DieMeerieGang

[✉]PAKETE AN:

Sarah Wolf
900000554
Packstation 167
51069 Köln
Stichwort: Die Meeries

WICHTIG!
Vergesst nicht Euren vollen Namen und Adresse LESERLICH auf das Paket zu schreiben. Briefe werden nicht schriftlich beantwortet, in Videos können Vorgelesene beantwortet werden (Keine Gewähr).",DE
SchrangTV,"Wir können es mit unserem Gewissen nicht vereinbaren, Mainstream-Werbung auf unserem Youtube-Kanal zu schalten, was wiederum bedeutet, dass wir mit unserem Kanal keine Werbeeinnahmen generieren. Gleichzeitig wollen wir gewährleisten, dass unsere Abonnenten ohne Werbeunterbrechung die Beiträge sehen können. Damit auch weiterhin Heiko Schrang seine investigative Arbeit fortsetzen kann, würden wir euch bitten, ihn dabei zu unterstützen.

Dies ist mit einer monatlich-regelmäßigen Unterstützung möglich oder auch als Einmalzahlung. Schon kleine Beträge helfen weiter.

Überweise uns Deine freiwillige Zuwendung auf unser Konto bei der Netbank:

Heiko Schrang, IBAN: DE68 2009 0500 0008 9375 59, BIC: AUGBDE71NET Betreff: „Freiwillige Zuwendung“

Weitere Zahlungsmöglichkeiten unter: https://www.macht-steuert-wissen.de/unterstuetze-heiko-schrang/",DE
WUMMS,"WUMMS ist das Sportsatire-Format mit Bumms! Wir gehen dahin, wo es weh tut (also den anderen). 

WUMMS wird produziert von NDR, WDR und Radio Bremen für funk. funk ist ein Gemeinschaftsangebot der Arbeitsgemeinschaft der Rundfunkanstalten der Bundesrepublik Deutschland (ARD) und des Zweiten Deutschen Fernsehens (ZDF).

funk hat auf die datenschutzrechtlichen Bestimmungen dieser Plattform sowie die Erhebung, Analyse und Nutzung von Userdaten keinen Einfluss. Im Rahmen unserer Möglichkeiten gehen wir mit der größten Sensibilität mit Deinen Daten um. Weitere Informationen zum Thema Datenschutz findest Du auf unserer Website: https://www.funk.net/datenschutz",DE
Kick11,"Kick11 - Bestes Fußball Entertainment auf YouTube! 

In unseren Formaten zeigen wir Dir alles, was Du über Fußball wissen musst: 

KickNews - Alles, was im Fußball neben dem Platz gerade so abgeht! 
TransferKickz - Aktuelle Transfergerüchte und Transfers!
REALTALK - Unsere Meinung und klare Ansagen zu aktuellen Themen im Fußball!
KickTipp - Tipps und Analysen zu den wichtigsten Spielen und Entscheidungen!
TopKickz - Die interessantesten und krassesten Rankings im Fußball!
KickFacts - Die besten Fakten über Spieler, Trainer und Vereine! 
KickDuell - Der ultimative Vergleich von zwei Superstars! 

Jede Woche mehrere neue Videos! Wenn Du noch mehr von uns sehen willst, folge Kick11 auch auf Instagram (kick11_official)! 

Viel Spaß mit unseren Videos!

Bildagentur: imago",DE
Team RING POLICE,"Angaben gemäß § 5 TMG:
RP Vertriebsgesellschaft mbH
Maastrichter Straße 4
41812 Erkelenz

Vertreten durch:
Dirk Mansfeld, M.A.
Jan-Erik Slooten

Kontakt:
Telefon: +49 (0) 2431 9824 00 – 0
Telefax: +49 (0) 2431 908 930 6
Email: info@ring-police.com

Verantwortlich für den Inhalt nach § 55 Abs. 2 RStV:
Dirk Mansfeld, M.A. (Anschrift wie oben)

Registereintrag:
Eintragung im Handelsregister.
Amtsgericht Mönchengladbach
Registernummer: HRB 17134

Umsatzsteuer-Identifikationsnummer gemäß §27 a Umsatzsteuergesetz:
DE282793597",DE
Sturm der Liebe,"Willkommen im offiziellen ""Sturm der Liebe""-YouTube-Kanal! Hier finden Sie exklusive Trailer, Backstage-Clips und Videos der Schauspieler. 

Die aktuellen Folgen sind immer sieben Tage gleichzeitig mit Ausstrahlung im TV hier im YouTube-Kanal abrufbar.

Aktuelle Folgen, noch mehr Videos und Infos gibt's unter http://www.daserste.de/sturmderliebe

Viel Spaß!

Impressum: www.DasErste.de/impressum
Bildrechte: ARD / Christof Arnold",DE
ALMAZ MUSIQ,Der offizielle ALMAZ Youtube-Channel - Hier findest du alle Videos von und mit Kurdo,DE
PietSmietTV,"PietSmiet im Real-Life! Auf PietSmiet TV findet ihr Reacts, Vlogs & Kochvideos! Egal ob wir auf ein virales Video reagieren, durch Namibia reisen oder Schaschlik kochen. Hier findet ihr geile Videos darüber.",DE
