title,description,country,subscriberCount
"Pelican Bay | ❥","H E Y ,

Welcome to my channel :) 

Business inquiries: tk@c-remstedt.com


Vor laaaanger, langer Zeit habe ich die Beauty Community auf Youtube für mich entdeckt. Als mein Sohn ca. 1 Jahr alt war, das war im August 2014, habe ich dann meinem eigenen Kanal gestartet um meine eigenen Tips und Tricks in Sachen Makeup und Fashion zu teilen. 
Ich bin kein Profi, ich bin nur eine Mama, die nie aufgehört hat sich für Fashion und Beauty zu interessieren und es liebt zu shoppen und sich neu zu entdecken.

Ich hoffe sehr, dass euch mein Kanal gefällt! 


Checkout my BLOG für mehr Fashion-Inspirationen &  Food - www.pelicanbayblog.com


WEAR WHAT YOU LIKE ! BE HAPPY BE YOURSELF!

Facebook: Pelican Bay
Instagram: pelican_bay
Twitter: PelicanBayYT
Snapchat: pelicanbayyt
www.pelicanbayblog.com


IMPRESSUM
CELEBRITIES & REMSTEDT
Constanze Remstedt
Nina Schwaiger
Oeltzenstr. 3
30169 Hannover
Germany


Management
CELEBRITIES & REMSTEDT
mail@c-remstedt.com",DE,151600
"Sonny Loops","SONNY, 22 Jahre, Berlin!

Naaaaaaa :D ❤
Vorneweg: Ich filme mit der Sony Alpha 5100, falls es jemanden interessiert hier, haha.
Ich freu mich, dass du auf meinen Kanal gestoßen bist und hoffe, dass du hier eine Weile bleibst :P
Wenn nicht, gibts haue. 
Tschuuuuss .

❤ FOLGT MIR AUCH HIER:

INSTAGRAM: @sonnyloops
TWITTER: sonnyloops
MUSICAL.LY: sonnyloops_
FACEBOOK: Sonny Loops
SNAPCHAT: sonnyloops

für geschäftliche Anfragen: sonnyloops@web.de

IMPRESSUM: 
Sonny loops
NoHype GmbH 
Lindenstraße 19
50674 Köln

Sonny Loops ist Teilnehmer des Partnerprogramms von Amazon EU, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu Amazon.de",DE,577232
"Ebru Ergüner","Mein Name ist Ebru, 31.

Seit 2008 habe ich meinen Kanal auf Youtube, hier berichte ich über Kosmetikthemen, Vlogs, Family und Baby

2010 habe ich eine Ausbildung zur Visagistin und Kosmetikerin erfolgreich absolviert.
2011 habe ich den ersten WebVideopreis gewonnen :D

Ich freue mich, wenn ihr mal bei mir vorbeischaut!

_____________________________________________________________________

Mail für geschaeftliche Anfragen : hello(at)ebruerguner.de

Pressekontakt und Business Anfragen: offizieler Ansprechpartner bin ich selber.
Über keine andere Website oder Ansprechpartner wird Ebru in Presseangelegenheiten vertreten.

İmpressum:

Ebru Ergüner
Am Erlengrund 8
25337 Elmshorn
Registergericht: Amtsgericht Elmshorn
Umsatzsteuer-Identifikationsnummer: DE282732979",DE,411642
"Basma Bada","Instagram www.instagram.com/basma_bada
Blog www.basmabada.com

Kontaktadresse/Business Inquiries: management@basmabada.com",DE,12345
Manda,"ADVENTURE. FOOD. FUN.

Wir sind Marie (25) und Alex (26) - M and A - Manda.
Derzeit leben und studieren wir in STUTTGART und nehmen euch auf unsere täglichen Alltagsabenteuer mit - mal Zuhause, mal im Ausland.
Wenn ihr Spaß an motivierenden, authentischen Videos habt, die das ganz normale Leben zeigen, dann seid ihr hier genau richtig :)

Enjoy!

xxx MandA

_________________________________

Wollt ihr NOCH MEHR Videos von Marie sehen? Dann schaut doch mal hier vorbei:
http://youtube.com/snukieful

& NOCH MEHR von Alex gibts hier: https://www.youtube.com/channel/UCmV_KZofMuD1P0nUqbx7jRA

_________________________________

Kontaktadresse / Business Inquiries:  

Marie Johnson 
snukieful@bwm-com.com 
c/o BWM Communications 
Rosenstraße 32 
50678 Köln 
www.bwm-com.com",DE,131041
"Niloofar Irani","Was geht Leute? Herzlich Willkommen auf meinem Kanal  ♡
Richtig gelandet seid ihr hier, wenn ihr lust auf viel Unterhaltung und Inspiration habt. Ich mag zwar etwas verrückt sein, aber den einen oder anderen wird es gefallen. Meinen Kanal habe ich seit Januar 2014 mit viel Liebe und Geduld aufgebaut. Ich bin sehr stolz auf meine Loyale und Treue Community, und freue mich natürlich auch darüber, immer mehr Menschen in meiner #NiLover Crew dabeizuhaben, die mich unterstützen und die Gradlinigkeit ihnen gegenüber erkennen. Ich Danke euch für die Zeit die ihr zum durchlesen dieses ""Roman's"" genommen habt und wünsche euch ganz viel spaß beim Zuschauen meiner Videos ♡

xo, Eure Nilo ♡


IMPRESSUM:

Niloofar Irani
Friseur Mozhgan
Bramfelder Chaussee 28
22177 Hamburg
Deutschland

Kontakt (nur Geschäftlich): mgmt@niloofar-irani.de",DE,454428
LEBENSFREUDE,"LEBENSFREUDE - Mit offenen Augen durchs Leben gehen

Jetzt abonnieren und die interessantesten Dinge der Welt kennenlernen!",DE,81034
"Alycia Marie","Hi, ich bin Alycia, ihr könnt mich gerne Ally nennen. :) 
Ich mache Musik, experimentelle Makeup Looks, Face Paintings, Special Effects Makeup, Beauty- & Lifestylevideos und ab und zu mal etwas, das komplett aus der Reihe tanzt. 

⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯

❤ 50.000 Abonnenten am 10. Januar 2014 

❤ 100.000 Abonnenten am 19. Dezember 2014 

❤ 150.000 Abonnenten am 28. April 2015

❤ 200.000 Abonnenten am 04. Juli 2015

❤ 250.000 Abonnenten am 02. November 2015

❤ 300.000 Abonnenten am 11. Februar 2016

❤ 350.000 Abonnenten am 03. August 2016

❤ 400.000 Abonnenten am 20. Dezember 2016

Das größte Dankeschön der Welt für eure großartige Unterstützung! ❤

⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯",DE,697244
Snukieful,"✨ Do whatever inspires you! ✨

Ich bin Marie, 25 Jahre alt & versuche in jedem Tag ein Abenteuer entdecken zu können.
Hier erwartet euch immer 👉🏼 DIENSTAGS 👈🏼 um 18 Uhr ein neues Video - Comedy, Schminktalks, Produkttests, Kochvideos oder andere Dinge, die mir gefallen.
Ich freue mich wenn ihr dabei seid & wünsche euch ganz viel Spaß auf meinem Kanal 💕

__________________________

""Marie alias Snukieful auf Youtube, ist Teilnehmer des Partnerprogramms von Amazon Europe S.à.r.l. und Partner des Werbeprogramms, das zur Bereitstellung eines Mediums für Websites konzipiert wurde, mittels dessen durch die Platzierung von Werbeanzeigen und Links zu amazon.de Werbekostenerstattung verdient werden können.""

__________________________

Kontaktadresse / Business Inquiries:

Marie Johnson
snukieful@bwm-com.com
c/o BWM Communications
Rosenstraße 32
50678 Köln
www.bwm-com.com",DE,458276
Martina,"Impressum:

ai GmbH
Theresienweg 4a
53125 Bonn

Vertreten durch:
D. Völler

Kontakt:
E-Mail: info@allimpact.net

Registereintrag:
Eintragung im Handelsregister. 
Registergericht:Bonn 
Registernummer: 23449",DE,266421
"Ischtar Isik","Mit 15 fing alles mit einer kleinen Spielerei an und nun teile ich mit 1000en von Menschen meine Tipps & Tricks. Ich bin Ischtar und mittlerweile 20 Jahre alt und auf meinem Kanal findet ihr alles zu den Themen Beauty, Fashion & Lifestyle. 
Hier könnt ihr Einblicke in mein Leben bekommen und mich bei meiner Entwicklung begleiten. Ich freue mich über jeden, der Teil unserer Community wird. ❤️

Ansprechpartner für geschäftliche Anfragen: 
GLOW Media Group GmbH
Zehdenicker Str. 21
10119 Berlin
T.+49 (0)30 2084840 - 55",DE,1152848
"Hey Aaron!!!","Hauptsache wir haben Spaß !!!!

Für Autogramme schickt bitte einen Brief mit frankiertem Rückumschlag an:
Aaron Troschke 
Schivelbeiner Str. 44
10439 Berlin

Realisator: Timo Schmidt: timo@heyaaron.de

Titel & Hintergrundmusik: http://www.ArmanUderzo.com

Impressum: 

ReachHero GmbH
Greifswalder Straße 208
10405 Berlin
timo@heyaaron.de

Amtsgericht Berlin HRB 162985 B
USt.-IdNr.: DE275103703",DE,973392
JessyOnline,"Hi, ich bin Jessy, blonde Weltreisende mit Kamera und Stift. ~ I travel. I write. I film. I mom. ~

Ich habe mich dazu entschieden, mein Leben in Deutschland für immer aufzugeben und dort zu leben, wo auch immer es mich und meine kleine Familie hinverschlägt. 
Ich glaube daran, dass Glück bei einem selbst anfängt. Dazu gehört auch, zu akzeptieren wer ich bin und mir das Leben zu bauen, das mein Herz zum Leuchten bringt. So bin ich auch genau dort angekommen, wo ich jetzt bin:

5 Länder, mindestens 7 verschiedene Jobs und eine Hochzeit später, sind wir nach Korea nun in Texas gelandet 
mit dem größten Geschenk überhaupt, unseren BabyMädchen, Lily & Violet. 

Allerdings gibt es noch viel über das Leben und die Welt zu lernen und zu entdecken. Bring it on!
Jessy

geschäftl. Anfragen: jessykpiskai@gmail.com
Impressum:
TubeOne Family & Living 
z.Hd. Jessica Klug
 +49 (0) 561 921 930 52 
christian.l@tubeone.com 
Kleiner Holzweg 4 
34121 Kassel",DE,68338
Emrah,"Hi hi hi hi hi and welcome hi - ich heiße Emrah und veröffentliche hier regelmäßig Life Hacks, Food-Rezepte, Lifestyle und Reaction-Videos. Bei mir wird's nieeeee langweilig, versprochen :)



Folgt mir auf: 
💯ABONNIEREN: https://www.youtube.com/emrah

INSTAGRAM: https://www.instagram.com/Emrah

SNAPCHAT: https://www.snapchat.com/add/emmmmrah

TWITTER: https://www.twitter.com/emrahtekin

FACEBOOK: https://www.facebook.com/EmrahYT

Business:
📩 : management@emrah.de

Impressum:
ContentView GmbH
Erftstraße 1, 50672 Köln
Deutschland",DE,2367691
"Hatice Schmidt","Hallo & herzlichen willkommen auf meinem BEAUTY & LIFESTYLE Kanal.

Kontaktadresse/Business Inquiries:  
Hatice Schmidt
haticeschmidt@outlook.com
c/o B W M Communications 
Rosenstraße 32 
50678 Köln  
www.bwm-com.com",DE,609347
kleinstadtcoco,"Herzlichen Willkommen auf dem Kanal von Kleinstadtcoco, ich bin Coco. Seit 2012 gehe ich meinen Leidenschaften für Styling, Design & DIY nach. Auf meinem Kanal zeige ich Stylingtipps für den Alltag sowie neue Beauty-updates, kreative Ideen & selbstgemachtes fürs Einrichten in den eigenen vier Wänden & mein Leben mit Allem, was mich inspiriert. 

Neue Videos kommen jeden Montag und Freitag um 16 Uhr online.

Ich bin Partner des YouTube-Netzwerkes TubeOne und SocialLights Management.",DE,229977
